"action_id","action_name","action_type","description","action_category","action_subcategory","investment_cost","implementation_timeline","biome"
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",mitigation,"The architectural projects for all renovations and constructions contracted must be designed to minimize the use of artificial lighting and internal cooling, allowing for the use of natural light and cross ventilation. It sould include all energy end-uses in municipal buildings, promote the use of sustainable materials, and adoption of passive design principles.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0121,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",mitigation,"This action encourages the establishment of bike-sharing systems in cities, specifically promoting the use of electric bicycles. These systems allow residents to rent electric bikes for short trips, reducing the dependence on cars for urban transportation. By integrating electric bikes, cities can further reduce greenhouse gas emissions, alleviate traffic congestion, and promote a healthier and more sustainable mode of transportation for both urban and rural areas. This initiative also supports mobility equality, as it makes bikes more accessible to a wider range of people.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
icare_0122,Establish eco-parks.,mitigation,"An eco-park is a facility for the mechanical and biological treatment of urban solid waste, integrating different technologies for the segregation and treatment of various fractions within the waste. This treatment aims to maximize the recovery of dry and organic waste and reduce the volume of waste to be sent for final disposal in landfills, using technologies such as energy generation, composting, recycling recovery, proper disposal of residual waste, and other existing treatment methods available in the market. By integrating these processes , eco-parks operate as multi-technology hubs for waste management, fostering synergies between waste reduction, energy recovery, and environmental protection for the cities. They also contribute to green job creation, climate change mitigation, and urban sustainability.",Projects & Physical Actions,Infrastructure Development,medium,<5 years,
icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,mitigation,Implement programs to register properties in the Rural Environmental Registry (CAR) and adhere to environmental restoration commitments.,"Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0128,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,mitigation,"Financial incentives such as loans, taxes, grants and rebates can be effective ways to promote ecological conservation and more sustainable practices. Municipalities can initiate schemes or help implement regional or national programmes. Payment for Environmental Services involves paying landowners for maintaining or improving environmental conditions on their properties.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0131,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,mitigation,"Focus on buying sustainable, locally produced food for public institutions. Additional actions could include identifying reliable local suppliers, partnering with producers and allocating funding to wider sustainable procurement programs and establishing monitoring systems to ensure compliance with sustainability goals","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0132,Encourage Local Agroecological Production and Short Supply Chains,mitigation,"Support local, sustainable agricultural practices and reduce emissions associated with food transport. Actions could include incentives for local food distribution networks, partnerships with producers and investment in infrastructure to support local markets and policies to prioritize low-emission transportation methods. These should be underpinned by other programmes to encourage local sustainable agriculture methods.","Policies, Plans & Programs",Public Programs / Incentives,low,<5 years,
icare_0137,Replace Inefficient Lighting with LED Technology in Public Spaces,mitigation,"This action focuses on replacing outdated and inefficient lighting systems in public spaces with energy-efficient LED technology. The objective is to enhance energy efficiency, reduce operational costs, and lower carbon emissions, contributing to a more sustainable and environmentally-friendly municipal infrastructure.",Projects & Physical Actions,Energy & Building Retrofits,medium,<5 years,
icare_0139,Implement congestion pricing and restrictions on high-polluting vehicles,mitigation,"The city introduces congestion pricing and related restrictions (such as tolls, charges, or bans) on high-polluting vehicles that cover significant parts of the city. To ensure equity and social acceptance, design measures may include exemptions or discounts for low-income drivers, reinvestment of revenues into public transport and active mobility, and strong communication campaigns. While congestion pricing can deliver major emission reductions, it requires substantial governance capacity and is best suited for larger metropolitan areas.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0144,Establish a financial support program for extreme weather events,adaptation,"Creation of a program to mitigate the effects of climate tragedies, including financial assistance to affected families, efforts to increase access to affordable hazard insurance, and efforts to secure additional resources for recovery and reconstruction, including partnerships with state and federal government bodies. Recovery and reconstruction measures should include adaptive measures with the emphasis on build back better to withstand future hazards and helping residents retrofit buildings.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
icare_0145,Strengthen the healthcare system to respond effectively to extreme events,adaptation,"Improve the infrastructure of healthcare units to assist people who require medical care due to impacts associated with climate risks (climate victims), such as those affected by heat waves or floods, especially in more vulnerable areas. Develop action plans to prepare the healthcare network for extreme climate-related situations.",Projects & Physical Actions,Emergency Infrastructure,high,>10 years,
icare_0154,Clean and unclog drainage channels and install eco-barriers,adaptation,Cleaning and unclogging channels in the city to reduce the risk of flooding caused by extreme rainfall events. Installation of eco-barriers to assist in cleaning efforts and raise awareness about solid waste.,Projects & Physical Actions,Infrastructure Development,medium,<5 years,
icare_0156,Improve Implementation of urban gardens,adaptation,Identify and assess the feasibility of suitable areas for the installation of urban gardens and ensure that the sites chosen meet the expectations of the community.,Projects & Physical Actions,Nature-Based Solutions,low,<5 years,
icare_0160,Establish mechanisms for intersectoral coordination and public participation in climate policy,adaptation,"Establish more mechanisms that enable better intersectoral coordination and public participation in climate policy, including the creation of working groups with neighboring municipalities to discuss a common climate agenda.","Policies, Plans & Programs",Institutional Frameworks,low,<5 years,
icare_0162,Strengthen programs for control and conservation of protected areas,adaptation,"This action focuses on implementing a series of integrated strategies to enhance environmental conservation and maximize its benefits, such as expanding protected areas, developing management plans for conservation units, and training ecotourism guides to strengthen sustainable tourism.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
icare_0163,Establish a first‑response firefighting brigade,adaptation,Creation of a First Response Brigade in rural communities to provide them with training and equipment for fire prevention and firefighting.,Projects & Physical Actions,Emergency Infrastructure,low,<5 years,
icare_0164,Improve Hydrological Monitoring System with Telemetry Stations,adaptation,"Implementation of a hydrological monitoring system with telemetry stations to monitor rainfall, water levels, and meteorological variables in real-time.","Data, Tools & Planning Projects",Data Collection / Baseline Studies,low,<5 years,
icare_0165,Develop an Environmental Education Plan,adaptation,"Design and implement a comprehensive environmental education plan that fosters climate literacy and awareness across schools, communities, and the media. Municipal governments can organize workshops, awareness campaigns, and nature-based activities such as tree planting to reconnect residents with their environment. The plan should integrate themes of climate change, adaptation, mitigation, and climate justice, with particular attention to youth, women, and vulnerable groups. By embedding equity and inclusion, cities can strengthen long-term engagement and empower communities to take part in climate action.","Policies, Plans & Programs",Strategic Plans,low,<5 years,
icare_0169,Establish a Plan for Preparation and Emergency Response Measures in the event of extreme weather events,adaptation,"This action focuses on preparing the municipality to respond to extreme events, aiming to provide a rapid response that minimizes the impacts on the population.","Policies, Plans & Programs",Strategic Plans,high,"5-10 years",coastal_marine
icare_0170,Build safe housing and implement urban rehabilitation projects for populations living in high-risk areas,adaptation,"The priority of this action is to build safe housing and implement urban rehabilitation projects for the population living in areas prone to landslides and flooding, as the housing deficit is one of the main factors related to these threats. This will be implemented through the construction of new housing units in safe locations for family resettlement, and infrastructure upgrades like slope stabilization and improved drainage systems within vulnerable communities.",Projects & Physical Actions,Infrastructure Development,high,>10 years,
icare_0171,"Improve the hydrometeorological forecasting, monitoring, and alert system for climate risks",adaptation,"This action aims to expand the procedures related to the existing climate risk forecasting, monitoring, and alert system in the municipality.","Data, Tools & Planning Projects",Tech Pilots & Deployments,medium,"5-10 years",
icare_0172,Develop and implement the Municipal Risk Reduction Plan (PMRR) and identify population groups vulnerable to climate risks.,adaptation,"This action aims to strengthen the development of the Municipal Risk Reduction Plan (PMRR) in the municipality, as it is a highly relevant tool for managing climate risks, especially river floods and landslides.","Policies, Plans & Programs",Strategic Plans,low,<5 years,
icare_0173,Preventive maintenance of drainage systems,adaptation,"Regular upkeep and cleaning of urban drainage systems, including storm drains, sewers, and retention basins, to ensure efficient water flow and prevent blockages that can lead to flooding during heavy rainfall events.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
icare_0176,Develop a Climate Action Plan,adaptation,"A comprehensive plan outlining a city's strategies and actions to mitigate greenhouse gas emissions and adapt to the impacts of climate change which typically includes an assessment of the city's climate risks and vulnerabilities, setting emission reduction targets, and implementation of actions across various sectors such as energy, transportation, waste management, and urban planning.","Policies, Plans & Programs",Strategic Plans,low,<5 years,
icare_0178,Redirect urban development through climate‑risk spatial planning,adaptation,"Mapping of critical flood-prone areas with the aim of revising and harmonizing legislation related to land use, given the intensification of the impacts of extreme weather events.","Policies, Plans & Programs",Strategic Plans,low,<5 years,
icare_0180,Expand urban green-blue networks and corridors,adaptation,"Expand and connect urban green spaces and blue-green infrastructure (BGI) in the public realm. Actions include street tree planting, establishing green corridors/greenways, pocket and large parks, and green-blue features (bioswales, rain gardens, permeable surfaces) to manage stormwater, reduce urban heat, enhance biodiversity, and support carbon sequestration. Embedding these measures in urban planning strengthens ecosystem services, resilience, and livability.",Projects & Physical Actions,Nature-Based Solutions,medium,<5 years,
icare_0181,Restore in Vulnerable Areas,adaptation,"A comprehensive project addressing the socio-environmental vulnerability of an informal settlement. It includes relocating residents from flood-prone areas, restoring the environment, and providing infrastructure and social services.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
icare_0182,Develop an Urban Afforestation Plan,adaptation,"This action focuses on expanding green areas in the city through urban afforestation. This includes planting trees in sidewalks, squares, public buildings, and schools, as well as creating ecological parks to revitalize watercourses and/or restore forests.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
icare_0183,Implement Multi-hazard Early Warning Systems (MH-EWS),adaptation,"Early Warning systems involve the timely detection and communication of potential climate-related hazards, enabling proactive responses to mitigate risks and enhancing community preparedness. This includes intense rains and landslides, using a network of telemetry stations to monitor rainfall and other weather conditions, with clear trigger thresholds to issue public alerts (sirens/alarms, SMS/cell broadcast, radio/PA) in case of potential flooding or landslides.",Projects & Physical Actions,Emergency Infrastructure,medium,"5-10 years",
icare_0184,Upgrade Slope stabilization and drainage,adaptation,"This action involves stabilizing slopes and maintaining or restoring drainage systems in hillside areas. This helps to prevent landslides and erosion, reducing the risk of disasters.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
icare_0185,Improve Creation of An Epidemiological Intelligence Center,adaptation,"This action focuses on establishing an epidemiological intelligence center to monitor public health indicators and provide accessible information to the population. This helps in making informed decisions and protecting public health, particularly in relation to climate-sensitive diseases.","Data, Tools & Planning Projects",Data Collection / Baseline Studies,medium,"5-10 years",
icare_0186,Implement integrated coastal zone management,adaptation,This action describes the implementation of an integrated coastal zone management plan to promote sustainable development and address the impacts of climate change in coastal areas. It includes measures to mitigate the impacts of sea-level rise and coastal erosion.,"Policies, Plans & Programs",Strategic Plans,medium,"5-10 years",coastal_marine
icare_0188,"Create an Environmental Health Surveillance Program related to Populations Exposed to Air Pollution, Noise Pollution, Water Pollution, and Soil Pollution.",adaptation,"Develop actions aimed at promoting the health of the population exposed to environmental factors related to atmospheric, noise, and sanitation pollutants. Identify and evaluate the acute and chronic risks and effects of exposure to fixed and mobile sources of air, noise, water, and soil pollution, and act in the surveillance of diseases derived from these pollutants through physical units and work groups, especially among the most vulnerable people.","Data, Tools & Planning Projects",Data Collection / Baseline Studies,medium,"5-10 years",
ipcc_0001,Promote compact urban form and transit-oriented development,mitigation,"Encourages compact and mixed-use urban development to reduce travel distances, car dependency, and related GHG emissions. Measures include transit-oriented development (TOD), zoning reforms, densification around transport corridors, and integration of land use and mobility planning. Particularly suited for larger cities with the capacity to update master plans and invest in transit infrastructure.","Policies, Plans & Programs",Strategic Plans,high,>10 years,
ipcc_0023,Design products with lightweight materials,mitigation,"This action involves improving material efficiency by designing lighter products, optimizing material usage to maintain functionality, and incorporating circular economy principles such as reusability, repairability, and recyclability. It spans the entire product lifecycle, from design to end-of-life management.","Policies, Plans & Programs",Regulation & Standards,high,"5-10 years",
ipcc_0024,Improve material utilization efficiency in production,mitigation,"This action focuses on enhancing material efficiency by adopting near-net shape casting and similar innovative manufacturing techniques. These methods reduce material wastage during production, improve yield from raw materials, and enhance energy efficiency by minimizing reprocessing. Strategies include optimizing product design, lightweighting, and improving recycling and reuse processes.",Projects & Physical Actions,Energy & Building Retrofits,high,"5-10 years",
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",mitigation,"This action involves designing products to enable circular principles such as extended product life, reusability, repairability, and ease of recycling. It emphasizes lightweighting, material optimization, and improved recovery of materials at the end of their lifecycle through reuse, remanufacturing, or recycling.","Policies, Plans & Programs",Regulation & Standards,high,"5-10 years",
ipcc_0026,Adopt alternative feedstocks in industrial production,mitigation,"Utilizing alternative feedstocks, such as blast furnace slag, fly ash, and pozzolans, to reduce the clinker-to-cement ratio in cement production. These alternatives lower emissions associated with calcination and energy-intensive processes. Improved material efficiency through high-strength concretes and innovative placement methods further reduces material usage.",Projects & Physical Actions,Energy & Building Retrofits,high,"5-10 years",
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",mitigation,"Encouraging behavioral changes to reduce waste in industrial processes and consumer habits, particularly in food production and consumption. This includes reducing food waste through better planning, optimizing portion sizes, and improving recycling and reuse practices in production and post-consumption stages.","Policies, Plans & Programs",Public Programs / Incentives,high,"5-10 years",
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),mitigation,"Promotes more intensive use of durable products by encouraging product sharing, which reduces the demand for new products and the associated GHG emissions from their manufacturing and supply chain.","Policies, Plans & Programs",Public Programs / Incentives,high,"5-10 years",
ipcc_0033,Improve product maintenance to extend lifespan,mitigation,Extending the lifespan of buildings and infrastructure by maintaining their structural integrity through improved product stock maintenance. This involves ensuring concrete structures remain functional for over 200 years.,"Policies, Plans & Programs",Regulation & Standards,high,"5-10 years",
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,mitigation,"Promotes behavioral and consumption changes to reduce overall industrial emissions, emphasizing reduced demand for products, reuse and recycling, and more efficient use of resources.","Policies, Plans & Programs",Public Programs / Incentives,high,"5-10 years",
ipcc_0037,Adopt net-zero-emissions materials and supply chains,mitigation,"Transition to net-zero embodied carbon in construction by substituting emissions-intensive materials (e.g., steel, concrete) with engineered timber systems (including mass timber for mid-rise buildings) and by integrating circular practices (reuse, recycling, design for disassembly). Prioritize certified sustainable forestry (e.g., FSC/PEFC), cascading use, and no-deforestation safeguards, ensuring timber use does not conflict with energy feedstocks. Use lifecycle assessment to guide material choices and supply-chain improvements.","Policies, Plans & Programs",Regulation & Standards,high,>10 years,
ipcc_0038,Stimulate solar energy production in industrial facilities,mitigation,Encourage the installation of solar energy systems in factories to reduce dependence on fossil fuels and minimize associated emissions.,Projects & Physical Actions,Energy & Building Retrofits,high,"5-10 years",
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,mitigation,"Stimulate the replacement of conventional materials in consumer goods with alternatives from Brazil's bioeconomy, such as sugarcane-based bioplastics, high-quality recycled polymers, bio-textiles made from biomass fibers or agricultural waste such as açaí seeds and coconut husks.","Policies, Plans & Programs",Public Programs / Incentives,high,>10 years,
ipcc_0040,Promote industry-government collaborations on emissions reduction,mitigation,Foster collaborations between industry and government to create policies and incentives for reducing industrial emissions and supporting sustainability goals.,"Policies, Plans & Programs",Institutional Frameworks,medium,"5-10 years",
ipcc_0041,Support research into carbon-neutral manufacturing technologies,mitigation,Invest in research and development of carbon-neutral technologies and encourage their adoption in industrial production.,"Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,mitigation,Establish clear and achievable carbon emissions reduction goals for industries and require periodic reporting to ensure progress.,"Policies, Plans & Programs",Regulation & Standards,high,"5-10 years",
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,mitigation,"Promote the transition to zero-emission energy sources and feedstocks in industrial processes, such as green hydrogen, biogas from sustainable sources, and synthetic e-fuels or chemicals produced with renewable electricity. These alternatives significantly reduce or eliminate process emissions compared to fossil-based fuels.
Cities can accelerate this shift by implementing pilot and demonstration projects, establishing green procurement standards, streamlining permitting processes, and creating targeted incentives, all aligned with national and sectoral decarbonization roadmaps.","Policies, Plans & Programs",Public Programs / Incentives,high,"5-10 years",
ipcc_0045,Transition to renewable energy for industrial operations,mitigation,"Encourage the shift to renewable energy sources such as wind, solar, and hydroelectric power in industrial operations to reduce fossil fuel use.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
ipcc_0049,Develop and implement circular economy policies,mitigation,"Circular Economy (CE) policies aim to close the loop for materials and energy flows by reducing, reusing, and recycling resources. These policies promote durable goods, reuse and remanufacturing, industrial symbiosis, and urban symbiosis to minimize waste and reduce GHG emissions. CE policies operate at micro, meso, and macro levels to integrate strategies like eco-design, sustainable supply chains, and urban energy symbiosis.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",
ipcc_0050,Create tax incentives for companies adopting clean technologies,mitigation,"Implement tax incentives and subsidies for companies that invest in clean technologies, leading to substantial emission reductions.","Policies, Plans & Programs",Public Programs / Incentives,low,<5 years,
ipcc_0052,Reduce Deforestation and Degradation,mitigation,Reduce deforestation and forest degradation to conserve carbon sequestered in forest vegetation and soil by avoiding tree cover loss and disturbance. This involves improving forest governance and supporting community forest management. Enhance monitoring and enforcement to prevent illegal deforestation and promote sustainable land use.,Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",tropical_rainforest
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",mitigation,"Advance tree-planting and forest recovery initiatives that strengthen biodiversity, ecosystem services, and carbon sequestration. Afforestation establishes new forests on historically non-forested land, reforestation restores deforested areas, and ecosystem restoration prioritizes native species and ecological integrity. Municipal governments should avoid monocultures, ensure projects deliver long-term benefits, and engage local communities so that restoration efforts provide social, cultural, and economic value alongside environmental gains.",Projects & Physical Actions,Nature-Based Solutions,high,"5-10 years",
ipcc_0054,Adopt sustainable forest management practices,mitigation,"Sustainable forest management of already managed forests will increase carbon stocks, improve wood quality, mitigate disturbances, and provide co-benefits like biodiversity conservation, water regulation, and soil protection. Practises include longer rotations, reduced harvesting, mixed stands, and climate-smart forestry, and working with Indigenous Peoples is essential to safeguard their work and practices. Cities can apply these principles if they are responsible for forest management, or partner with those responsible to encourage and support best practice.",Projects & Physical Actions,Nature-Based Solutions,high,"5-10 years",
ipcc_0055,"Implement fire management in forests, grasslands, and savannas",mitigation,"Implement fire management practices, including prescribed burning and natural resource management, to reduce uncontrolled wildfires in forests and savannas. Focuses on safeguarding life, property, and resources while mitigating GHG emissions and maintaining carbon stocks. Cities can apply these principles if they are responsible for forest management, or partner with those responsible to encourage and support best practice. Work with Indigenous Peoples to safeguard or support their own burning practices and fire management approaches.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,mitigation,"Prevent the conversion of grasslands and savannas to croplands to conserve soil carbon and biodiversity, and implement sustainable soil management practices in croplands and grasslands to enhance soil organic carbon. Cities can promote sustainable grazing, reduced tillage, fire management, biochar application, improved grass varieties and vegetation management practices, while discouraging land-use change that accelerates degradation. Partnerships with local communities and alignment with regional conservation initiatives strengthen the protection of these ecosystems.These activities aim to increase soil organic matter, mitigate GHG emissions, and provide co-benefits for biodiversity, water provision, and food security.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",grassland_savanna
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,mitigation,"Protect intact peatlands from clearing, drainage, and conversion that release large carbon emissions, and rewet and revegetate degraded peatlands to prevent further degradation. Municipal governments can enhance governance and monitoring, restrict agricultural expansion, and collaborate with regional and national programs for wetland conservation. Safeguarding these ecosystems preserves carbon storage, reduces fire risks, and protects biodiversity and ecosystem services. Peatland restoration maintains water regulation, flood prevention, and can foster sustainable livelihoods through paludiculture.",Projects & Physical Actions,Nature-Based Solutions,high,"5-10 years",wetlands
ipcc_0060,Protect and Restore Coastal Wetlands,mitigation,"Restore degraded or damaged coastal ecosystems, including mangroves, salt marshes, and seagrass beds. Restoration includes passive (removal of degradation drivers) and active (environmental manipulation) approaches to reinstate ecosystem functions and carbon sequestration potential. This supports biodiversity conservation, fisheries production, soil stabilization, water quality regulation, flood prevention, and resilience against cyclones. Cities can either take on restoration activities themselves, require restoration as part of Urban Planning and land use regulations, or partner with government, ecological organisations and other partners to carry out restoration projects. Economic incentives or regulations on activities that degrade coastal wetlands may also be effective.",Projects & Physical Actions,Nature-Based Solutions,high,>10 years,
ipcc_0062,Create partnerships to implement biochar plants.,mitigation,"Biochar is produced by heating organic matter (e.g., forestry residues, straw, manure) in oxygen-limited environments. It has significant mitigation potential through carbon dioxide removal (CDR), reduced greenhouse gas emissions, and soil application benefits like improved fertility and reduced N2O emissions. Cities can consider trialling and adopting these technologies, in collaboration with local rural producers, utility companies and other industrial stakeholders.",Projects & Physical Actions,Nature-Based Solutions,high,"5-10 years",
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,mitigation,"This action targets methane (CH4) emissions from enteric fermentation in livestock through direct interventions like feed additives, inhibitors, or vaccines, and indirect measures like improving production efficiency through better breeding and husbandry practices. It also includes early-life manipulation of the ruminal biome. Adopt or develop local standards for feed additives, vaccines, and inhibitors, and support rural producers to overcome barriers to costs, infrastructure and skills on this topic.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",
ipcc_0067,Improve manure management and crop nutrient practices,mitigation,"Promote collective and cost-effective approaches to reduce methane (CH₄) and nitrous oxide (N₂O) emissions from manure storage and use, and implementation of improved crop nutrient management practices to reduce N2O emissions from cropland soils. Municipal governments can support the development of cooperative biodigesters, composting initiatives, and improved storage facilities, while encouraging better fertilizer application, crop rotation and grazing practices. These measures enhance nutrient recovery for crop production, reduce fertilizer costs, and generate co-benefits such as renewable energy through biogas. By facilitating financing models, partnerships, and technical assistance, cities can help farmers adopt sustainable manure and nutrient management practices at scale. ","Policies, Plans & Programs",Public Programs / Incentives,high,"5-10 years",
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,mitigation,"Bioenergy involves producing energy from organic sources like biomass, organic waste, and harvest residues, displacing fossil fuels in heat, electricity, and fuel production. When combined with carbon capture and storage (BECCS), it stores biogenic carbon in geological or terrestrial reservoirs, achieving negative emissions. BECCS can also integrate with agriculture and forestry for co-benefits like land restoration and biogas production. Cities can consider piloting and trialling these technologies, in collaboration with local rural producers, utility companies and other industrial stakeholders.","Data, Tools & Planning Projects",Tech Pilots & Deployments,high,>10 years,
ipcc_0069,Promote sustainable and healthy diets,mitigation,"Support the transition to dietary patterns that improve health and reduce environmental impacts. This usually focusses on reducing animal-based food consumption (especially ruminants) and promoting plant-based options, making the action implementable and socially equitable. Cities can act through public procurement policies in schools, hospitals, events, and other institutions, as well as awareness campaigns and promoting national food guidelines.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0070,Reduce food loss and waste,mitigation,"Food loss and waste can be reduced through measures across the food supply chain, including improved harvesting and post-harvesting technologies and behaviours. To achieve these changes, cities can consider implementing food waste policies like mandatory reporting, reduction targets, consumer awareness and education campaigns, infrastructure for food storage and transportation, policy frameworks for waste reduction, financial incentives and taxation, and positive marketing for imperfect food products.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0071,Increase sustainable use of wood products,mitigation,"Promote the use of certified sustainable wood (e.g., FSC, PEFC) as a substitute for more carbon-intensive and ecologically destructive materials like concrete or steel. Policies can include amending Building Regulations to include requirements on sustainable wood products, and urban procurement policies for municipal capital projects and spending that prioritize sustainable wood, recycling, and extending product lifetimes. Ensure policies include safeguards to avoid promoting unsustainable wood use.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",
ipcc_0074,Promote compact urban form through spatial planning,mitigation,"Integrated spatial planning promotes compact urban form to reduce GHG emissions by increasing urban efficiency, supporting sustainable infrastructure such as district heating/cooling networks, and enhancing green areas. Co-design processes improve public acceptance and institutional capacity to support coordinated mitigation strategies.","Policies, Plans & Programs",Strategic Plans,high,>10 years,
ipcc_0076,Implement energy audits in industrial plants,mitigation,Conduct regular energy audits to identify opportunities for energy savings and reduction in emissions.,"Policies, Plans & Programs",Public Programs / Incentives,high,>10 years,
ipcc_0078,Implement green roofs and walls,adaptation,"The implementation of green roofs and green walls mitigates urban heat island effects, improves thermal comfort, reduces energy demand in buildings, manages stormwater, and enhances urban livability and biodiversity.",Projects & Physical Actions,Nature-Based Solutions,high,"5-10 years",
ipcc_0083,Plan strategic coastal retreat for vulnerable communities,adaptation,"Planned relocation and retreat of people, assets, and activities from coastal hazard zones to reduce exposure and risks caused by sea-level rise and associated coastal hazards.","Policies, Plans & Programs",Strategic Plans,high,>10 years,coastal_marine
ipcc_0084,Restore/create natural areas,adaptation,"Restoration and conservation of marine and coastal habitats, such as mangroves, vegetated dunes, seagrasses, coral reefs, and kelp forests, to protect coastal communities, support biodiversity, sequester carbon, and mitigate climate change. Efforts include creating marine protected areas, active restoration of coral reefs, ridge-to-reef management, restoring dunes, planting salinity-tolerant trees, increasing forest cover, detect and manage forest pests.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",coastal_marine
ipcc_0085,Reduce pressures on ecosystems to build resilience,adaptation,"Reduce pollution, eutrophication, and anthropogenic pressures on natural systems, including marine and terrestrial ecosystems. Efforts include managing runoff, protecting sensitive habitats like the Great Barrier Reef, addressing non-climate drivers, promoting sustainable fisheries harvest, and increasing connectivity between natural areas to enhance ecosystem resilience.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
ipcc_0086,Implement ecosystem‑based adaptation measures,adaptation,"Restoring and sustainably managing marine, coastal, urban, riverine, and wetland ecosystems to protect against climate hazards such as storm surges, floods, and heatwaves. Efforts include agroecology, coastal and marine vegetation and reefs, vegetation corridors, mangrove habitat restoration, urban green space to reduce temperatures. These actions improve biodiversity, store carbon, enhance water quality, and provide socio-economic and cultural co-benefits.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
ipcc_0087,Improve Infrastructure retrofitting,adaptation,"Strengthen and upgrade existing infrastructure, including roads, housing, and energy systems, to improve resilience against climate risks such as floods, droughts, and heatwaves. Efforts include using thermosiphons for permafrost degradation, increasing rooftop albedo (for reflectivity) and shading",Projects & Physical Actions,Infrastructure Development,high,"5-10 years",
ipcc_0088,Update and enforce climate‑resilient building codes,adaptation,"The development and implementation of building codes and architectural design regulations aimed at integrating climate adaptation parameters. These codes are focused on reducing risks from climate-induced hazards like floods and landslides. They also support climate-resilient urban development by guiding land use, construction practices, and infrastructure standards. The initiative fosters strategic long-term urban planning to coordinate public and private investments in adaptation, including the creation of safe zones and the transformation of precarious settlements. It ensures that new infrastructure is resilient to climate risks and that urban spaces are safe and sustainable for current and future populations.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",
ipcc_0089,Spatially redirect development,adaptation,"Use zoning and land-use planning to regulate coastal development by implementing spatial development strategies that consider environmental vulnerabilities, protect ecosystems, and mitigate risks from flooding, heatwaves, and sea-level rise. This includes ensuring that development is directed away from high-risk areas, integrating climate adaptation considerations into urban planning, and promoting sustainable practices to close adaptation gaps while addressing urban inequality.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",coastal_marine
ipcc_0090,Expand climate risk insurance coverage,adaptation," Insurance provides financial risk management tools tailored to climate-induced challenges. This includes traditional agricultural insurance to protect farmers from weather-related losses and innovative index-based insurance solutions. Index-based insurance leverages measurable weather indices, such as rainfall or temperature, to trigger payouts automatically when thresholds are reached, bypassing the need for loss verification. These tools help stabilize incomes, encourage investment in climate-resilient practices, and reduce the economic vulnerability of stakeholders in agriculture, aquaculture, and energy sectors. Furthermore, bundled insurance products with additional services like fertilizer or seed access enhance overall resilience, particularly in underserved and rural communities. By mitigating risks associated with droughts, floods, and storms, insurance supports sustainable development and adaptation goals","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
